epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,161.935,1.15888,1.67122,1.25288,0.58627,0.57384,0.56677,0.23561,2.08707,2.37459,2.06324,0.000544625,0.000544625,0.000544625
116,163.493,1.08455,1.57805,1.21415,0.62514,0.57995,0.59414,0.24678,2.06543,2.29123,2.03633,0.000538438,0.000538438,0.000538438
117,164.861,1.08863,1.56483,1.13649,0.62514,0.57995,0.59414,0.24678,2.06543,2.29123,2.03633,0.00053225,0.00053225,0.00053225
118,166.146,1.01375,1.57727,1.0836,0.62514,0.57995,0.59414,0.24678,2.06543,2.29123,2.03633,0.000526063,0.000526063,0.000526063
119,167.437,1.12554,1.60146,1.16459,0.62514,0.57995,0.59414,0.24678,2.06543,2.29123,2.03633,0.000519875,0.000519875,0.000519875
120,168.772,1.18633,1.60972,1.22327,0.59426,0.60912,0.59406,0.2558,2.02322,2.22877,1.98571,0.000513688,0.000513688,0.000513688
121,170.05,1.04556,1.60935,1.21154,0.59426,0.60912,0.59406,0.2558,2.02322,2.22877,1.98571,0.0005075,0.0005075,0.0005075
122,171.303,1.15243,1.75513,1.24958,0.59426,0.60912,0.59406,0.2558,2.02322,2.22877,1.98571,0.000501313,0.000501313,0.000501313
123,172.554,0.974,1.54135,1.10306,0.59426,0.60912,0.59406,0.2558,2.02322,2.22877,1.98571,0.000495125,0.000495125,0.000495125
124,173.943,1.10531,1.66803,1.19543,0.62217,0.58869,0.57609,0.24419,1.98976,2.2562,1.90126,0.000488938,0.000488938,0.000488938
125,175.171,1.0803,1.5916,1.14531,0.62217,0.58869,0.57609,0.24419,1.98976,2.2562,1.90126,0.00048275,0.00048275,0.00048275
126,176.426,1.07198,1.562,1.148,0.62217,0.58869,0.57609,0.24419,1.98976,2.2562,1.90126,0.000476562,0.000476562,0.000476562
127,177.68,1.20056,1.64091,1.316,0.62217,0.58869,0.57609,0.24419,1.98976,2.2562,1.90126,0.000470375,0.000470375,0.000470375
128,178.937,1.31072,1.81721,1.37964,0.57312,0.68826,0.57676,0.22606,2.02397,2.29085,1.92736,0.000464188,0.000464188,0.000464188
129,180.132,1.02627,1.49415,1.07596,0.57312,0.68826,0.57676,0.22606,2.02397,2.29085,1.92736,0.000458,0.000458,0.000458
130,181.381,1.06771,1.5833,1.24127,0.57312,0.68826,0.57676,0.22606,2.02397,2.29085,1.92736,0.000451813,0.000451813,0.000451813
131,182.59,1.09803,1.5479,1.18681,0.57312,0.68826,0.57676,0.22606,2.02397,2.29085,1.92736,0.000445625,0.000445625,0.000445625
132,183.836,1.04093,1.56987,1.17938,0.55443,0.61294,0.54085,0.22453,2.03888,2.26051,1.93333,0.000439437,0.000439437,0.000439437
133,185.04,1.08464,1.53397,1.23214,0.55443,0.61294,0.54085,0.22453,2.03888,2.26051,1.93333,0.00043325,0.00043325,0.00043325
134,186.261,0.95224,1.50805,1.22005,0.55443,0.61294,0.54085,0.22453,2.03888,2.26051,1.93333,0.000427062,0.000427062,0.000427062
135,187.492,1.12864,1.44595,1.26399,0.55443,0.61294,0.54085,0.22453,2.03888,2.26051,1.93333,0.000420875,0.000420875,0.000420875
136,188.739,1.12526,1.59695,1.30188,0.48706,0.62679,0.53378,0.21801,2.04116,2.25213,1.95601,0.000414688,0.000414688,0.000414688
137,189.99,1.03145,1.4486,1.20754,0.48706,0.62679,0.53378,0.21801,2.04116,2.25213,1.95601,0.0004085,0.0004085,0.0004085
138,191.226,1.03453,1.48913,1.17324,0.48706,0.62679,0.53378,0.21801,2.04116,2.25213,1.95601,0.000402312,0.000402312,0.000402312
139,192.446,1.13898,1.5529,1.266,0.48706,0.62679,0.53378,0.21801,2.04116,2.25213,1.95601,0.000396125,0.000396125,0.000396125
140,193.738,1.04625,1.54752,1.19709,0.58317,0.58509,0.57309,0.23415,2.01767,2.23133,1.96055,0.000389938,0.000389938,0.000389938
141,194.942,0.93411,1.39757,1.16272,0.58317,0.58509,0.57309,0.23415,2.01767,2.23133,1.96055,0.00038375,0.00038375,0.00038375
142,196.171,0.93278,1.3976,1.1169,0.58317,0.58509,0.57309,0.23415,2.01767,2.23133,1.96055,0.000377563,0.000377563,0.000377563
143,197.424,1.00477,1.43296,1.14825,0.58317,0.58509,0.57309,0.23415,2.01767,2.23133,1.96055,0.000371375,0.000371375,0.000371375
144,198.712,1.02772,1.37697,1.14429,0.57976,0.55501,0.55567,0.23713,2.01268,2.27234,1.95819,0.000365188,0.000365188,0.000365188
145,199.927,1.04381,1.47637,1.14052,0.57976,0.55501,0.55567,0.23713,2.01268,2.27234,1.95819,0.000359,0.000359,0.000359
146,201.173,0.90909,1.33584,1.08116,0.57976,0.55501,0.55567,0.23713,2.01268,2.27234,1.95819,0.000352812,0.000352812,0.000352812
147,202.432,1.04386,1.47345,1.2323,0.57976,0.55501,0.55567,0.23713,2.01268,2.27234,1.95819,0.000346625,0.000346625,0.000346625
148,203.687,0.91247,1.33161,1.08821,0.54622,0.56623,0.54814,0.24461,2.0582,2.25663,1.9815,0.000340438,0.000340438,0.000340438
149,204.92,0.91257,1.33663,1.16399,0.54622,0.56623,0.54814,0.24461,2.0582,2.25663,1.9815,0.00033425,0.00033425,0.00033425
150,206.157,0.86438,1.42221,1.08645,0.54622,0.56623,0.54814,0.24461,2.0582,2.25663,1.9815,0.000328063,0.000328063,0.000328063
151,207.371,0.91836,1.30514,1.13724,0.54622,0.56623,0.54814,0.24461,2.0582,2.25663,1.9815,0.000321875,0.000321875,0.000321875
152,208.641,1.0479,1.47774,1.18321,0.51459,0.6631,0.53907,0.24364,2.06413,2.2213,1.98305,0.000315687,0.000315687,0.000315687
153,210.012,0.91647,1.42898,1.16446,0.51459,0.6631,0.53907,0.24364,2.06413,2.2213,1.98305,0.0003095,0.0003095,0.0003095
154,211.259,1.00601,1.45014,1.14053,0.51459,0.6631,0.53907,0.24364,2.06413,2.2213,1.98305,0.000303313,0.000303313,0.000303313
155,212.481,0.95809,1.34651,1.10205,0.51459,0.6631,0.53907,0.24364,2.06413,2.2213,1.98305,0.000297125,0.000297125,0.000297125
156,213.816,0.8945,1.37415,1.07421,0.66145,0.55107,0.60723,0.26603,2.06292,2.18668,1.98178,0.000290937,0.000290937,0.000290937
157,215.214,0.9796,1.4161,1.10183,0.66145,0.55107,0.60723,0.26603,2.06292,2.18668,1.98178,0.00028475,0.00028475,0.00028475
