epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,1780.2,0.62876,0.47954,0.89031,0.95102,0.99571,0.99326,0.83634,0.62773,0.42091,1.17369,0.0007724,0.0007724,0.0007724
126,1794.11,0.61463,0.47525,0.93453,0.95101,0.99558,0.99274,0.8492,0.62536,0.41889,1.16037,0.0007625,0.0007625,0.0007625
127,1808.47,0.60961,0.47236,0.9064,1,0.97081,0.99357,0.84896,0.61277,0.40511,1.14519,0.0007526,0.0007526,0.0007526
128,1824.77,0.68319,0.50125,0.90548,0.94814,1,0.99256,0.85552,0.61049,0.40108,1.13836,0.0007427,0.0007427,0.0007427
129,1839.22,0.65087,0.49768,0.89307,0.9721,1,0.9925,0.84303,0.61255,0.3913,1.13607,0.0007328,0.0007328,0.0007328
130,1853.46,0.65028,0.49369,0.90393,0.97138,1,0.99325,0.83525,0.62139,0.38041,1.14391,0.0007229,0.0007229,0.0007229
131,1868.02,0.65347,0.50176,0.89481,0.99753,1,0.995,0.83962,0.63535,0.36105,1.15571,0.000713,0.000713,0.000713
132,1881.43,0.63086,0.48037,0.88876,0.99845,1,0.995,0.84647,0.6378,0.35707,1.16403,0.0007031,0.0007031,0.0007031
133,1896.05,0.63386,0.47782,0.90504,0.99869,1,0.995,0.85693,0.6264,0.35897,1.16173,0.0006932,0.0006932,0.0006932
134,1911.4,0.64548,0.48609,0.89784,0.99871,1,0.995,0.84644,0.63331,0.34689,1.17657,0.0006833,0.0006833,0.0006833
135,1926.94,0.6007,0.47217,0.90946,0.99883,1,0.995,0.8509,0.62596,0.34218,1.18138,0.0006734,0.0006734,0.0006734
136,1940.25,0.60849,0.46997,0.88766,1,0.99991,0.995,0.85259,0.63437,0.34565,1.20056,0.0006635,0.0006635,0.0006635
137,1954.25,0.56658,0.4564,0.88231,1,0.99906,0.995,0.85347,0.63966,0.35601,1.21013,0.0006536,0.0006536,0.0006536
138,1968.13,0.63682,0.48712,0.9086,1,0.99828,0.995,0.84158,0.62446,0.35857,1.1903,0.0006437,0.0006437,0.0006437
139,1982.81,0.57108,0.45963,0.89126,1,0.99927,0.995,0.85593,0.60723,0.35698,1.16174,0.0006338,0.0006338,0.0006338
140,1996.7,0.60318,0.47305,0.89825,0.99812,1,0.995,0.86467,0.59044,0.35463,1.13106,0.0006239,0.0006239,0.0006239
141,2014.28,0.56485,0.44618,0.88236,0.99687,1,0.995,0.86262,0.58995,0.35317,1.12075,0.000614,0.000614,0.000614
142,2029.46,0.59881,0.45808,0.91846,0.99671,1,0.995,0.86437,0.5886,0.35421,1.11431,0.0006041,0.0006041,0.0006041
143,2044.76,0.62724,0.47708,0.89838,0.9902,1,0.995,0.85902,0.59301,0.34981,1.11717,0.0005942,0.0005942,0.0005942
144,2059.06,0.54277,0.43789,0.88205,0.97221,1,0.9945,0.84991,0.60806,0.34485,1.12573,0.0005843,0.0005843,0.0005843
145,2075.16,0.57867,0.44996,0.88133,0.97318,1,0.9945,0.84374,0.62873,0.34806,1.13806,0.0005744,0.0005744,0.0005744
146,2088.81,0.58234,0.4589,0.88502,0.97153,1,0.9945,0.84785,0.63862,0.34707,1.14614,0.0005645,0.0005645,0.0005645
147,2103.4,0.59078,0.45557,0.87843,1,0.99449,0.995,0.86463,0.61277,0.34576,1.136,0.0005546,0.0005546,0.0005546
148,2119.27,0.54811,0.43545,0.87699,0.99883,0.97436,0.9945,0.86141,0.579,0.34684,1.12114,0.0005447,0.0005447,0.0005447
149,2133.45,0.56205,0.45264,0.88363,0.99754,0.97436,0.9945,0.86046,0.56761,0.35633,1.1075,0.0005348,0.0005348,0.0005348
150,2147.92,0.58413,0.45472,0.88261,0.99771,0.97436,0.99273,0.86171,0.57328,0.3762,1.10484,0.0005249,0.0005249,0.0005249
151,2164.38,0.55518,0.44634,0.89003,1,0.96335,0.9916,0.85914,0.58116,0.38093,1.10845,0.000515,0.000515,0.000515
152,2178.6,0.60336,0.45374,0.89212,0.96534,0.97436,0.99274,0.85712,0.58091,0.39545,1.10989,0.0005051,0.0005051,0.0005051
153,2194.83,0.61259,0.46799,0.88245,0.96122,0.97436,0.99274,0.86206,0.57173,0.39712,1.1078,0.0004952,0.0004952,0.0004952
154,2208.66,0.55062,0.43375,0.8846,0.97466,0.98658,0.99325,0.86047,0.5784,0.39373,1.11439,0.0004853,0.0004853,0.0004853
155,2221.62,0.5857,0.45615,0.87606,0.97485,0.99396,0.9945,0.8587,0.58423,0.37649,1.1189,0.0004754,0.0004754,0.0004754
156,2235.75,0.57369,0.45068,0.8853,0.99893,0.97436,0.99402,0.8593,0.59246,0.3618,1.12556,0.0004655,0.0004655,0.0004655
157,2249.38,0.53388,0.41982,0.88622,0.99945,0.97436,0.99402,0.86379,0.59328,0.34891,1.12927,0.0004556,0.0004556,0.0004556
158,2263.79,0.56089,0.44149,0.88065,1,0.99688,0.995,0.86704,0.57583,0.33924,1.11798,0.0004457,0.0004457,0.0004457
159,2278.42,0.54425,0.43842,0.89821,1,0.99882,0.995,0.86542,0.56229,0.32209,1.10943,0.0004358,0.0004358,0.0004358
160,2293.24,0.56756,0.44184,0.87455,0.99974,1,0.995,0.86414,0.56725,0.32062,1.10873,0.0004259,0.0004259,0.0004259
161,2307.67,0.55668,0.44251,0.86965,0.99886,1,0.995,0.86145,0.57056,0.31205,1.11008,0.000416,0.000416,0.000416
162,2324.92,0.54307,0.42563,0.87136,0.99845,1,0.995,0.86579,0.56362,0.30995,1.10608,0.0004061,0.0004061,0.0004061
163,2338.57,0.56186,0.43616,0.87002,0.99802,1,0.995,0.8654,0.55775,0.31478,1.10367,0.0003962,0.0003962,0.0003962
164,2352.96,0.50351,0.40571,0.86876,0.99778,1,0.995,0.86636,0.56045,0.32041,1.10776,0.0003863,0.0003863,0.0003863
165,2367.09,0.53718,0.43143,0.86292,0.99742,1,0.995,0.86906,0.5674,0.32597,1.11202,0.0003764,0.0003764,0.0003764
166,2381.63,0.54617,0.41629,0.86422,0.99737,1,0.995,0.87078,0.56793,0.32861,1.11285,0.0003665,0.0003665,0.0003665
167,2396.16,0.54855,0.41751,0.88306,0.99742,1,0.995,0.86502,0.56565,0.32167,1.11229,0.0003566,0.0003566,0.0003566
168,2410.88,0.52961,0.41779,0.85742,0.99769,1,0.995,0.86003,0.56694,0.31895,1.1126,0.0003467,0.0003467,0.0003467
169,2427.49,0.51847,0.42032,0.87848,0.99784,1,0.995,0.86108,0.56961,0.31466,1.11312,0.0003368,0.0003368,0.0003368
170,2442.07,0.52887,0.41389,0.85702,0.99775,1,0.995,0.85905,0.56807,0.31614,1.11432,0.0003269,0.0003269,0.0003269
171,2459.26,0.55279,0.4255,0.86653,0.9975,1,0.995,0.86048,0.56555,0.31626,1.11417,0.000317,0.000317,0.000317
172,2473.56,0.56042,0.43155,0.87957,0.99728,1,0.995,0.8674,0.56608,0.31915,1.11595,0.0003071,0.0003071,0.0003071
173,2489.27,0.51426,0.40809,0.86622,0.99701,1,0.995,0.86511,0.57564,0.31701,1.12969,0.0002972,0.0002972,0.0002972
174,2504.73,0.55491,0.42784,0.88047,0.99697,1,0.995,0.86023,0.59057,0.31665,1.13782,0.0002873,0.0002873,0.0002873
175,2520.49,0.50092,0.40432,0.86759,0.99718,1,0.995,0.85966,0.59921,0.31799,1.13928,0.0002774,0.0002774,0.0002774
176,2535.12,0.52262,0.40787,0.84936,0.99738,1,0.995,0.85918,0.60425,0.31975,1.14047,0.0002675,0.0002675,0.0002675
177,2551.73,0.56855,0.43128,0.87794,0.9977,1,0.995,0.8518,0.60439,0.31645,1.14075,0.0002576,0.0002576,0.0002576
178,2566.05,0.52383,0.41799,0.86606,0.99793,1,0.995,0.85274,0.59743,0.32059,1.13939,0.0002477,0.0002477,0.0002477
179,2581.07,0.49642,0.40886,0.86908,0.99812,1,0.995,0.85182,0.59441,0.31853,1.14038,0.0002378,0.0002378,0.0002378
180,2594.45,0.52349,0.40835,0.87603,0.99848,1,0.995,0.85322,0.59617,0.31784,1.14168,0.0002279,0.0002279,0.0002279
181,2609.89,0.51231,0.40753,0.86345,0.99921,1,0.995,0.85478,0.59896,0.31768,1.14117,0.000218,0.000218,0.000218
182,2624.24,0.52567,0.41505,0.86819,0.9997,1,0.995,0.86007,0.59959,0.31678,1.14079,0.0002081,0.0002081,0.0002081
183,2638.91,0.5073,0.40789,0.86964,1,0.99948,0.995,0.86129,0.59051,0.31503,1.13213,0.0001982,0.0001982,0.0001982
184,2655.32,0.51086,0.41614,0.86801,1,0.99901,0.995,0.8632,0.57816,0.31116,1.1225,0.0001883,0.0001883,0.0001883
185,2671.13,0.47787,0.38519,0.85633,1,0.99637,0.995,0.87188,0.56671,0.31166,1.11586,0.0001784,0.0001784,0.0001784
186,2685.68,0.45118,0.38283,0.84883,1,0.99874,0.995,0.87514,0.55882,0.31134,1.10842,0.0001685,0.0001685,0.0001685
187,2700.09,0.40854,0.35646,0.86257,0.99747,1,0.995,0.87015,0.55704,0.30891,1.10922,0.0001586,0.0001586,0.0001586
188,2714.8,0.50089,0.40294,0.86689,0.99671,1,0.995,0.87416,0.55837,0.30136,1.11115,0.0001487,0.0001487,0.0001487
