epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,130.766,1.51482,2.07017,2.33477,1.03273,0.06097,0.17143,0.03993,0.01992,0.02667,0.22857,0.02846,0.01031,2.11647,4.01953,2.9149,1.47321,0.00131899,0.00131899,0.00131899
85,132.744,1.90154,2.19666,2.56735,1.18788,0.06097,0.17143,0.03993,0.01992,0.02667,0.22857,0.02846,0.01031,2.11647,4.01953,2.9149,1.47321,0.00133073,0.00133073,0.00133073
86,134.071,2.39176,2.62259,3.05441,1.23611,0.06097,0.17143,0.03993,0.01992,0.02667,0.22857,0.02846,0.01031,2.11647,4.01953,2.9149,1.47321,0.00134236,0.00134236,0.00134236
87,135.345,2.00982,2.33787,2.71925,1.14596,0.06097,0.17143,0.03993,0.01992,0.02667,0.22857,0.02846,0.01031,2.11647,4.01953,2.9149,1.47321,0.0013539,0.0013539,0.0013539
88,136.958,2.56528,3.0068,3.07995,1.31181,0.03484,0.11429,0.03014,0.01822,0.02613,0.08571,0.02455,0.01517,2.00985,3.17033,2.91786,1.44163,0.00136533,0.00136533,0.00136533
89,139.067,2.23791,2.57941,2.75667,1.28108,0.03484,0.11429,0.03014,0.01822,0.02613,0.08571,0.02455,0.01517,2.00985,3.17033,2.91786,1.44163,0.00137667,0.00137667,0.00137667
90,140.788,1.63389,1.869,2.44267,1.12138,0.03484,0.11429,0.03014,0.01822,0.02613,0.08571,0.02455,0.01517,2.00985,3.17033,2.91786,1.44163,0.00138791,0.00138791,0.00138791
91,141.9,2.22177,2.40318,2.83421,1.22907,0.03484,0.11429,0.03014,0.01822,0.02613,0.08571,0.02455,0.01517,2.00985,3.17033,2.91786,1.44163,0.00139905,0.00139905,0.00139905
92,143.274,1.68606,2.24337,2.36815,1.06647,0.02667,0.22857,0.02057,0.01049,0.0304,0.22857,0.02724,0.01405,2.08136,2.67929,3.10584,1.34288,0.00141009,0.00141009,0.00141009
93,144.49,1.81601,2.25208,2.5281,1.11739,0.02667,0.22857,0.02057,0.01049,0.0304,0.22857,0.02724,0.01405,2.08136,2.67929,3.10584,1.34288,0.00142103,0.00142103,0.00142103
94,146.077,1.77198,2.32868,2.49266,1.07576,0.02667,0.22857,0.02057,0.01049,0.0304,0.22857,0.02724,0.01405,2.08136,2.67929,3.10584,1.34288,0.00143187,0.00143187,0.00143187
95,147.728,1.64707,2.11714,2.54275,1.11202,0.02667,0.22857,0.02057,0.01049,0.0304,0.22857,0.02724,0.01405,2.08136,2.67929,3.10584,1.34288,0.00144262,0.00144262,0.00144262
96,148.953,1.5006,2.02695,2.54571,1.01642,0.04062,0.22857,0.02963,0.01358,0.0495,0.22857,0.03287,0.01407,2.06707,2.57621,3.15477,1.37113,0.00145326,0.00145326,0.00145326
97,149.95,1.4863,2.07062,2.35692,0.98537,0.04062,0.22857,0.02963,0.01358,0.0495,0.22857,0.03287,0.01407,2.06707,2.57621,3.15477,1.37113,0.00146381,0.00146381,0.00146381
98,151.97,2.17741,2.53123,2.69147,1.30554,0.04062,0.22857,0.02963,0.01358,0.0495,0.22857,0.03287,0.01407,2.06707,2.57621,3.15477,1.37113,0.00147425,0.00147425,0.00147425
99,153.612,1.471,1.93244,2.41183,1.02026,0.04062,0.22857,0.02963,0.01358,0.0495,0.22857,0.03287,0.01407,2.06707,2.57621,3.15477,1.37113,0.0014846,0.0014846,0.0014846
100,154.834,2.13009,2.35717,2.73987,1.23051,0.03582,0.17143,0.02653,0.01346,0.09311,0.17143,0.03859,0.01209,2.1281,2.81298,3.25906,1.39583,0.00149485,0.00149485,0.00149485
101,156.272,1.86698,2.34925,2.43774,1.18514,0.03582,0.17143,0.02653,0.01346,0.09311,0.17143,0.03859,0.01209,2.1281,2.81298,3.25906,1.39583,0.001505,0.001505,0.001505
102,157.713,1.68666,2.23344,2.48228,1.02826,0.03582,0.17143,0.02653,0.01346,0.09311,0.17143,0.03859,0.01209,2.1281,2.81298,3.25906,1.39583,0.00150005,0.00150005,0.00150005
103,159.758,1.41463,1.71558,2.30472,1.05264,0.03582,0.17143,0.02653,0.01346,0.09311,0.17143,0.03859,0.01209,2.1281,2.81298,3.25906,1.39583,0.0014951,0.0014951,0.0014951
104,161.409,1.55242,1.82111,2.33561,1.00658,0.04741,0.05714,0.03198,0.00977,0.07111,0.08571,0.04207,0.01038,2.47047,2.6722,3.26675,1.58197,0.00149015,0.00149015,0.00149015
105,162.67,1.49543,2.11152,2.38153,1.04728,0.04741,0.05714,0.03198,0.00977,0.07111,0.08571,0.04207,0.01038,2.47047,2.6722,3.26675,1.58197,0.0014852,0.0014852,0.0014852
106,165.328,1.79019,2.42626,2.36694,1.20785,0.04741,0.05714,0.03198,0.00977,0.07111,0.08571,0.04207,0.01038,2.47047,2.6722,3.26675,1.58197,0.00148025,0.00148025,0.00148025
107,167.374,1.36634,1.68019,2.07422,1.02219,0.04741,0.05714,0.03198,0.00977,0.07111,0.08571,0.04207,0.01038,2.47047,2.6722,3.26675,1.58197,0.0014753,0.0014753,0.0014753
108,169.395,2.1829,2.56702,2.51367,1.20505,0.16943,0.05714,0.05116,0.01974,0.16943,0.05714,0.04963,0.01778,2.53835,2.50552,3.11646,1.52853,0.00147035,0.00147035,0.00147035
109,170.619,1.52254,2.13535,2.32079,1.05056,0.16943,0.05714,0.05116,0.01974,0.16943,0.05714,0.04963,0.01778,2.53835,2.50552,3.11646,1.52853,0.0014654,0.0014654,0.0014654
110,172.015,1.74524,2.04198,2.35722,1.09101,0.16943,0.05714,0.05116,0.01974,0.16943,0.05714,0.04963,0.01778,2.53835,2.50552,3.11646,1.52853,0.00146045,0.00146045,0.00146045
111,174.018,1.7037,2.27166,2.2274,1.07578,0.16943,0.05714,0.05116,0.01974,0.16943,0.05714,0.04963,0.01778,2.53835,2.50552,3.11646,1.52853,0.0014555,0.0014555,0.0014555
112,175.095,2.32505,2.64038,3.05461,1.13498,0.20366,0.02857,0.03147,0.01501,0.20185,0.02857,0.03865,0.01425,2.45969,2.52006,3.23453,1.52016,0.00145055,0.00145055,0.00145055
113,176.618,1.78901,2.03339,2.36511,1.08672,0.20366,0.02857,0.03147,0.01501,0.20185,0.02857,0.03865,0.01425,2.45969,2.52006,3.23453,1.52016,0.0014456,0.0014456,0.0014456
114,177.775,1.76933,2.18361,2.37748,1.04801,0.20366,0.02857,0.03147,0.01501,0.20185,0.02857,0.03865,0.01425,2.45969,2.52006,3.23453,1.52016,0.00144065,0.00144065,0.00144065
115,179.187,1.73761,2.23066,2.19668,1.07549,0.20366,0.02857,0.03147,0.01501,0.20185,0.02857,0.03865,0.01425,2.45969,2.52006,3.23453,1.52016,0.0014357,0.0014357,0.0014357
